Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
0,25-34,Education (Higher Education),Research and Instruction Librarian,55000,USD,United States,5-7 years,Master's degree,Woman,55000.0,USD
1,25-34,Computing or Tech,Change & Internal Communications Manager,54600,GBP,United Kingdom,5-7 years,College degree,Non-binary,71169.462,USD
2,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,USD,US,2 - 4 years,College degree,Woman,34000.0,USD
3,25-34,Nonprofits,Program Manager,62000,USD,USA,5-7 years,College degree,Woman,62000.0,USD
4,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,USD,US,5-7 years,College degree,Woman,60000.0,USD
5,25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,USD,USA,2 - 4 years,Master's degree,Man,62000.0,USD
6,25-34,Publishing,Publishing Assistant,33000,USD,USA,2 - 4 years,College degree,Woman,33000.0,USD
7,25-34,Education (Primary/Secondary),Librarian,50000,USD,United States,5-7 years,Master's degree,Man,50000.0,USD
8,45-54,Computing or Tech,Systems Analyst,112000,USD,US,21 - 30 years,College degree,Woman,112000.0,USD
9,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,USD,United States,21 - 30 years,College degree,Woman,45000.0,USD
10,25-34,Nonprofits,Office Manager,47500,USD,United States,5-7 years,College degree,Woman,47500.0,USD
11,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,USD,USA,5-7 years,PhD,Woman,62000.0,USD
12,35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,USD,United States,11 - 20 years,College degree,Man,100000.0,USD
13,25-34,Law,Legal Aid Staff Attorney,52000,USD,United States,2 - 4 years,nan,Woman,52000.0,USD
14,18-24,Health care,Patient care coordinator,32000,CAD,Canada,1 year or less,College degree,Woman,25616.320000000003,USD
15,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,GBP,United Kingdom ,5-7 years,College degree,Man,31283.28,USD
16,35-44,Business or Consulting,Executive Assistant,85000,USD,USA,8 - 10 years,Some college,Woman,85000.0,USD
17,45-54,Art & Design,graphic designer,59000,USD,usa,21 - 30 years,College degree,Woman,59000.0,USD
18,35-44,Business or Consulting,Senior Manager,98000,USD,USA,2 - 4 years,Master's degree,Woman,98000.0,USD
19,35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,USD,United States,11 - 20 years,Master's degree,Woman,54000.0,USD
20,25-34,Health care,Data Programmer Analyst,74000,USD,USA,5-7 years,Master's degree,Woman,74000.0,USD
21,35-44,Nonprofits,Program Coordinator & Assistant Editor ,50000,USD,United States,2 - 4 years,PhD,Woman,50000.0,USD
22,35-44,Nonprofits,Event Planner,63000,CAD,Canada,8 - 10 years,Master's degree,Woman,50432.130000000005,USD
23,35-44,Government and Public Administration,Researcher,96000,USD,United States,2 - 4 years,PhD,Woman,96000.0,USD
24,25-34,Public Library,Teen Librarian ,44500,USD,US,2 - 4 years,nan,Woman,44500.0,USD
25,35-44,Education (Higher Education),Communications Specialist,60000,USD,USA,1 year or less,Master's degree,Woman,60000.0,USD
26,25-34,Nonprofits,Program Director,62000,USD,US,2 - 4 years,College degree,Man,62000.0,USD
27,35-44,Law,Bookkeeper/Billing Manager,48000,USD,USA,2 - 4 years,College degree,Woman,48000.0,USD
28,35-44,Government and Public Administration,Economist,140000,USD,USA,11 - 20 years,Master's degree,Woman,140000.0,USD
29,25-34,Engineering or Manufacturing,Research Engineer,80000,USD,United States,5-7 years,College degree,Woman,80000.0,USD
30,25-34,Nonprofits,Volunteer and Giving Coordinator,39000,USD,United States,2 - 4 years,College degree,Woman,39000.0,USD
31,35-44,Media & Digital,Editor,125000,USD,USA,8 - 10 years,Master's degree,Woman,125000.0,USD
32,25-34,"Accounting, Banking & Finance",Financial Advisor,230000,USD,USA,11 - 20 years,College degree,Woman,230000.0,USD
33,35-44,"Accounting, Banking & Finance",Accounting Manager,110000,USD,US,11 - 20 years,College degree,Woman,110000.0,USD
34,25-34,Nonprofits,Administrative and HR Manager,50000,USD,United States,2 - 4 years,College degree,Woman,50000.0,USD
35,35-44,Education (Higher Education),Senior IRB Analyst,68000,USD,USA,2 - 4 years,Master's degree,Woman,68000.0,USD
36,18-24,Media & Digital,Reporter,41000,USD,United States,2 - 4 years,College degree,Woman,41000.0,USD
37,25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,USD,United States,2 - 4 years,College degree,Woman,76000.0,USD
38,35-44,Government and Public Administration,Staff Services Manager II,78000,USD,USA,5-7 years,Master's degree,Woman,78000.0,USD
39,25-34,"Accounting, Banking & Finance",Receptionist,37000,USD,USA,2 - 4 years,College degree,Woman,37000.0,USD
40,45-54,Engineering or Manufacturing,Lead Engineer,100000,USD,USA,21 - 30 years,College degree,Woman,100000.0,USD
41,35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,GBP,UK,11 - 20 years,College degree,Woman,45621.45,USD
42,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,USD,USA,5-7 years,College degree,Man,65000.0,USD
43,25-34,Computing or Tech,Principal Software Engineer,187500,USD,United States,5-7 years,College degree,Woman,187500.0,USD
44,25-34,Computing or Tech,Intelligence Analyst,110000,USD,USA,8 - 10 years,Master's degree,Man,110000.0,USD
45,25-34,Nonprofits,Project Manager,66625,USD,US,8 - 10 years,College degree,Woman,66625.0,USD
46,35-44,Computing or Tech,Mobile developer,144600,USD,USA,5-7 years,PhD,Woman,144600.0,USD
47,35-44,Computing or Tech,Product Design Director,200850,USD,USA,11 - 20 years,College degree,Woman,200850.0,USD
48,25-34,Engineering or Manufacturing,Engineering specialist,120000,CAD,Canada,8 - 10 years,College degree,Woman,96061.20000000001,USD
49,25-34,Retail,"Manager, Total Rewards",97500,CAD,Canada,8 - 10 years,College degree,Woman,78049.725,USD
50,35-44,Education (Higher Education),Research and Development Engineer 3,96000,USD,United States,5-7 years,PhD,Woman,96000.0,USD
51,25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,USD,United States,1 year or less,Master's degree,Woman,53000.0,USD
52,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,USD,United States,8 - 10 years,College degree,Woman,95000.0,USD
53,35-44,Computing or Tech,Managed Services Sales Coordinator,72000,USD,United States,5-7 years,Master's degree,Woman,72000.0,USD
54,35-44,Media & Digital,Editor,52000,CAD,Canada,11 - 20 years,College degree,Woman,41626.520000000004,USD
55,35-44,Engineering or Manufacturing,Water Resources Engineer,106000,USD,United States,11 - 20 years,Master's degree,Woman,106000.0,USD
56,25-34,Government and Public Administration,Program Officer,115000,USD,United States,5-7 years,PhD,Woman,115000.0,USD
57,25-34,Business or Consulting,Account Supervisor,100500,USD,US,5-7 years,College degree,Woman,100500.0,USD
58,25-34,Law,Legal Secretary,33200,USD,US,2 - 4 years,Some college,Woman,33200.0,USD
59,35-44,Government and Public Administration,Policy Lead,52000,GBP,United Kingdom,11 - 20 years,Master's degree,Woman,67780.44,USD
60,25-34,Education (Higher Education),Coordinator,52000,USD,United States,8 - 10 years,College degree,Woman,52000.0,USD
61,25-34,Government and Public Administration,Senior Advisor,79000,CAD,Canada,5-7 years,Master's degree,Woman,63240.29,USD
62,65 or over,Property or Construction,Safety Director,104000,USD,USA,21 - 30 years,College degree,Man,104000.0,USD
63,25-34,Education (Primary/Secondary),Secondary School Educator,75000,CAD,Canada,2 - 4 years,College degree,Woman,60038.25000000001,USD
64,18-24,Biotechnology,Downstream Process Development Research Associate I,52000,USD,United States,2 - 4 years,College degree,Woman,52000.0,USD
65,25-34,Education (Higher Education),Research Programmer,70000,USD,USA,2 - 4 years,Master's degree,Non-binary,70000.0,USD
66,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,USD,United States,5-7 years,Master's degree,Woman,84000.0,USD
67,35-44,Health care,AR Manager,53000,USD,United States,11 - 20 years,Master's degree,Woman,53000.0,USD
68,25-34,Computing or Tech,Technical specialist,34000,USD,United States,5-7 years,College degree,Woman,34000.0,USD
